,name,x_min,y_min,x_max,y_max
895,"Dover, DE Urbanized Area",-75.6062041535,39.0686527723,-75.4814578465,39.2260032277
904,"Duluth, MN--WI Urbanized Area",-92.1898783029,46.6888095497,-92.0681616971,46.8423384503
918,"Durham, NC Urbanized Area",-79.0454722446,35.8576828846,-78.8500137554,36.1042271154
947,"Eau Claire, WI Urbanized Area",-91.5074177203,44.7848998187,-91.3869842797,44.9368101813
961,"El Centro--Calexico, CA Urbanized Area",-115.58605212,32.7189749285,-115.50664588,32.8191350715
974,"Elkhart, IN--MI Urbanized Area",-85.9959194198,41.5706056636,-85.8569565802,41.7458883364
992,"El Paso, TX--NM Urbanized Area",-106.503783224,31.6354947173,-106.274278776,31.9249832827
1016,"Erie, PA Urbanized Area",-80.1805980929,42.0026140532,-80.0491119071,42.1684659468
1029,"Eugene, OR Urbanized Area",-123.144156895,43.9808265984,-123.009115105,44.1511634016
1037,"Evansville, IN--KY Urbanized Area",-87.6164215702,37.8788552353,-87.4583644298,38.0782227647
1050,"Fairfield, CA Urbanized Area",-122.081600749,38.2017008166,-121.990521251,38.3165851834
1066,"Fargo, ND--MN Urbanized Area",-96.8816797644,46.7857717518,-96.7601442356,46.9390722482
1078,"Fayetteville, NC Urbanized Area",-79.0790185473,34.9239475597,-78.8749894527,35.1813024403
1080,"Fayetteville--Springdale--Rogers, AR--MO Urbanized Area",-94.2789708481,36.1421977256,-94.0803171519,36.3927722744
1096,"Flint, MI Urbanized Area",-83.8060408814,42.8483121382,-83.5833551186,43.1291998618
1123,"Fort Collins, CO Urbanized Area",-105.134750539,40.4037891612,-104.982921461,40.5953008388
1136,"Fort Smith, AR--OK Urbanized Area",-94.4745883465,35.230998563,-94.3526196535,35.384845437
1140,"Fort Walton Beach--Navarre--Wright, FL Urbanized Area",-86.7491808447,30.3320118777,-86.5900211553,30.5327701223
1141,"Fort Wayne, IN Urbanized Area",-85.2340076711,40.9804211193,-85.0437883289,41.2203568807
1159,"Frederick, MD Urbanized Area",-77.4702681289,39.3374798488,-77.3460578711,39.4941541512
1162,"Fredericksburg, VA Urbanized Area",-77.5721015991,38.2014633466,-77.4442104009,38.3627806534
1168,"Fresno, CA Urbanized Area",-119.855989574,36.6680824006,-119.666238426,36.9074275994
1178,"Gainesville, FL Urbanized Area",-82.4386711796,29.571507228,-82.3034068204,29.742124772
1179,"Gainesville, GA Urbanized Area",-83.9369612288,34.1597490296,-83.7740407712,34.3652509704
1195,"Gastonia, NC--SC Urbanized Area",-81.2375218812,35.1485254567,-81.0668121188,35.3638525433
1256,"Grand Junction, CO Urbanized Area",-108.631692775,39.0079232719,-108.502991225,39.1702627281
1257,"Grand Rapids, MI Urbanized Area",-85.7900281305,42.7896919717,-85.5471718695,43.0960220283
1279,"Greeley, CO Urbanized Area",-104.778117808,40.3457107643,-104.685018192,40.4631432357
1280,"Green Bay, WI Urbanized Area",-88.1137884009,44.4135130965,-87.9652175991,44.6009149035
1290,"Greensboro, NC Urbanized Area",-79.9426100824,35.9728595438,-79.7452959176,36.2217444562
1297,"Greenville, NC Urbanized Area",-77.4290515008,35.5091217092,-77.3119824992,35.6567882908
1300,"Greenville, SC Urbanized Area",-82.5718241108,34.680591417,-82.3123658892,35.007862583
1318,"Gulfport, MS Urbanized Area",-89.1167735071,30.283988724,-88.9308044929,30.518563276
1327,"Hagerstown, MD--WV--PA Urbanized Area",-78.0270888405,39.3161762353,-77.8596751595,39.5273457647
1355,"Harlingen, TX Urbanized Area",-97.7712684421,26.0834310787,-97.6393795579,26.2497909213
1361,"Harrisburg, PA Urbanized Area",-76.983891054,40.0989924319,-76.750250946,40.3936975681
1370,"Hartford, CT Urbanized Area",-72.8635415413,41.5323608513,-72.5341184587,41.9478831487
1405,"Hemet, CA Urbanized Area",-117.030168521,33.6889406382,-116.928579479,33.8170813618
1419,"Hickory, NC Urbanized Area",-81.5361189651,35.6092523735,-81.3016130349,35.9050496265
1425,"High Point, NC Urbanized Area",-80.0882629849,35.8442755986,-79.9341450151,36.0386744014
1484,"Houma, LA Urbanized Area",-90.8234260486,29.5821547341,-90.6847899514,29.7570252659
1486,"Houston, TX Urbanized Area",-95.688891226,29.4117513513,-95.098170774,30.1568646487
1497,"Huntington, WV--KY--OH Urbanized Area",-82.5235595972,38.3084452695,-82.3580344028,38.5172327305
1498,"Huntsville, AL Urbanized Area",-86.7442246778,34.6092363155,-86.5342413222,34.8741016845
1515,"Indianapolis, IN Urbanized Area",-86.3381043866,39.5683443191,-85.9529376134,40.0541796809
1520,"Indio--Cathedral City, CA Urbanized Area",-116.433135498,33.6388265534,-116.259278502,33.8581234466
1528,"Iowa City, IA Urbanized Area",-91.6074710924,41.6195887471,-91.5095909076,41.7430512529
1547,"Jackson, MS Urbanized Area",-90.2695751731,32.1853184862,-90.0438028269,32.4700995138
1550,"Jacksonville, FL Urbanized Area",-81.8096693533,30.0295676793,-81.4757746467,30.4507303207
1552,"Jacksonville, NC Urbanized Area",-77.4789400887,34.6668891154,-77.3564839113,34.8213508846
1583,"Johnson City, TN Urbanized Area",-82.4269958285,36.2418490572,-82.2749921715,36.4335809428
1605,"Kailua (Honolulu County)--Kaneohe, HI Urbanized Area",-157.817462559,21.3305036134,-157.726877441,21.4447643866
1608,"Kalamazoo, MI Urbanized Area",-85.6755892631,42.14525135,-85.5092127369,42.35511265
1615,"Kansas City, MO--KS Urbanized Area",-94.7836345458,38.8017253229,-94.4061594542,39.2778586771
1635,"Kennewick--Pasco, WA Urbanized Area",-119.268514639,46.1436570693,-119.121751361,46.3287789307
1636,"Kenosha, WI--IL Urbanized Area",-87.9181942276,42.5035274742,-87.8144437724,42.6343945258
1655,"Killeen, TX Urbanized Area",-97.818340922,31.010357462,-97.684821078,31.178774538
1663,"Kingsport, TN--VA Urbanized Area",-82.6247988959,36.423085529,-82.4702971041,36.617968471
1672,"Kissimmee, FL Urbanized Area",-81.4721655122,28.1797462516,-81.2897664878,28.4098177484
1678,"Knoxville, TN Urbanized Area",-84.1761898147,35.7253783928,-83.8727061853,36.1081816072
1690,"La Crosse, WI--MN Urbanized Area",-91.2781542177,43.7938309754,-91.1746217823,43.9244230246
1691,"Lady Lake--The Villages, FL Urbanized Area",-82.0546395544,28.8850475848,-81.9324124456,29.0392204152
1694,"Lafayette, IN Urbanized Area",-86.9430504797,40.3539950654,-86.8269635203,40.5004229346
1695,"Lafayette, LA Urbanized Area",-92.1104420456,30.0439659425,-91.9166659544,30.2883880575
1713,"Lake Charles, LA Urbanized Area",-93.3373824761,30.1418802858,-93.1742975239,30.3475897142
1728,"Lakeland, FL Urbanized Area",-82.0434800389,27.9104847578,-81.8682819611,28.1314732422
1761,"Lancaster, PA Urbanized Area",-76.4292033226,39.9560382863,-76.2010966774,40.2437637137
1764,"Lancaster--Palmdale, CA Urbanized Area",-118.172670176,34.5215601983,-118.016851824,34.7181038017
1767,"Lansing, MI Urbanized Area",-84.6264510003,42.6061249542,-84.4441069997,42.8361270458
1771,"Laredo, TX Urbanized Area",-99.5365955634,27.461219653,-99.4190904366,27.609436347
1774,"Las Cruces, NM Urbanized Area",-106.821558426,32.2614360881,-106.704935574,32.4085399119
1776,"Las Vegas--Henderson, NV Urbanized Area",-115.315225153,35.9482021588,-115.019210847,36.3215838412
1805,"Leesburg--Eustis--Tavares, FL Urbanized Area",-81.8462802615,28.7278716929,-81.7053957385,28.9055783071
1813,"Leominster--Fitchburg, MA Urbanized Area",-71.9093987013,42.4954662744,-71.7924732987,42.6429517256
1830,"Lexington-Fayette, KY Urbanized Area",-84.5631715608,37.937915304,-84.4275204392,38.109020696
1842,"Lincoln, NE Urbanized Area",-96.7485536642,40.7211170827,-96.6121823358,40.8931309173
1859,"Little Rock, AR Urbanized Area",-92.4377321037,34.6096011305,-92.2047098963,34.9035268695
1896,"Lorain--Elyria, OH Urbanized Area",-82.2279792378,41.3135261092,-82.0828507622,41.4965858908
1898,"Los Angeles--Long Beach--Anaheim, CA Urbanized Area",-118.406377955,33.6016782156,-117.802286045,34.3636577844
1908,"Louisville/Jefferson County, KY--IN Urbanized Area",-85.8328096571,38.0317565348,-85.5162483429,38.4310554652
1913,"Lubbock, TX Urbanized Area",-101.964371797,33.4694406883,-101.821976203,33.6490533117
1924,"Lynchburg, VA Urbanized Area",-79.2753691624,37.304637477,-79.1387368376,37.476980523
1931,"McAllen, TX Urbanized Area",-98.3092878003,26.0709453542,-98.0349661997,26.4169646458
1941,"McKinney, TX Urbanized Area",-96.7390718036,33.1260591114,-96.6142641964,33.2834868886
1946,"Macon, GA Urbanized Area",-83.7425773873,32.7428387046,-83.5990386127,32.9238932954
1958,"Madison, WI Urbanized Area",-89.4496446969,43.0112218482,-89.2714833031,43.2359481518
1979,"Manchester, NH Urbanized Area",-71.5469509466,42.9061722151,-71.4123810534,43.0759137849
2038,"Marysville, WA Urbanized Area",-122.211159717,47.9701554819,-122.080018283,48.1355725181
2047,"Mauldin--Simpsonville, SC Urbanized Area",-82.3220291757,34.683046733,-82.1894928243,34.850223267
2049,"Mayagüez, PR Urbanized Area",-67.154275566,18.1195481611,-67.047992434,18.2536098389
2058,"Medford, OR Urbanized Area",-122.902556553,42.2628810981,-122.785919447,42.4100029019
2064,"Memphis, TN--MS--AR Urbanized Area",-90.0795192962,34.8911560582,-89.7561947038,35.2989859418
2069,"Merced, CA Urbanized Area",-120.575691338,37.2679128808,-120.475732662,37.3939971192
2081,"Miami, FL Urbanized Area",-80.4865593444,25.8538025997,-79.9762966556,26.4974294003
2095,"Midland, TX Urbanized Area",-102.159536354,31.9306437696,-102.054105646,32.0636302304
2116,"Milwaukee, WI Urbanized Area",-88.2712478412,42.8425077117,-87.9325821588,43.2696882883
2122,"Minneapolis--St. Paul, MN--WI Urbanized Area",-93.5122384808,44.6860061208,-93.0487815192,45.2705938792
2125,"Mission Viejo--Lake Forest--San Clemente, CA Urbanized Area",-117.746180052,33.4458549906,-117.568297948,33.6702290094
2133,"Mobile, AL Urbanized Area",-88.2716447083,30.5309188679,-88.0552532917,30.8038671321
2136,"Modesto, CA Urbanized Area",-121.035347914,37.5868027339,-120.896374086,37.7620992661
2146,"Monroe, LA Urbanized Area",-92.1827379171,32.4382899001,-92.0514940829,32.6038360999
2157,"Montgomery, AL Urbanized Area",-86.387305802,32.2867238633,-86.207630198,32.5133601367
2242,"Murfreesboro, TN Urbanized Area",-86.4698051272,35.767890385,-86.3423008728,35.928719615
2245,"Murrieta--Temecula--Menifee, CA Urbanized Area",-117.322442825,33.5216851065,-117.138063175,33.7542548935
2247,"Muskegon, MI Urbanized Area",-86.2897635795,43.0687315759,-86.1361244205,43.2625264241
2249,"Myrtle Beach--Socastee, SC--NC Urbanized Area",-78.950455364,33.6374164272,-78.750410636,33.8897455728
2252,"Nampa, ID Urbanized Area",-116.670728529,43.539669844,-116.549949471,43.692016156
2259,"Nashua, NH--MA Urbanized Area",-71.538658038,42.6974805089,-71.342911962,42.9443874911
2263,"Nashville-Davidson, TN Urbanized Area",-86.8530860663,35.9110824619,-86.5089259337,36.3451935381
2283,"New Bedford, MA Urbanized Area",-70.9908722297,41.6060534716,-70.8832497703,41.7418045284
2301,"New Haven, CT Urbanized Area",-73.0301794468,41.1630189023,-72.7765125532,41.4829850977
2309,"New Orleans, LA Urbanized Area",-90.2586233749,29.8096713907,-90.0287426251,30.0996346093
2330,"New York--Newark, NY--NJ--CT Urbanized Area",-74.3960332513,40.1812529103,-73.5444087487,41.2554610897
2339,"Norman, OK Urbanized Area",-97.4937394282,35.1525858576,-97.3966125718,35.2750981424
2353,"North Port--Port Charlotte, FL Urbanized Area",-82.2029048553,26.9067872507,-82.0447811447,27.1062387493
2362,"Norwich--New London, CT--RI Urbanized Area",-72.1626836687,41.2839835656,-71.9839383313,41.5094464344
2375,"Ocala, FL Urbanized Area",-82.2093289977,29.0581296051,-82.0558310023,29.2517463949
2387,"Odessa, TX Urbanized Area",-102.456330161,31.7949753877,-102.345025839,31.9353706123
2390,"Ogden--Layton, UT Urbanized Area",-112.081823677,40.9882051011,-111.867974323,41.2579468989
2395,"Oklahoma City, OK Urbanized Area",-97.6712053329,35.3195312619,-97.3774046671,35.6901207381
2400,"Olympia--Lacey, WA Urbanized Area",-122.930899468,46.941532955,-122.781922532,47.129447045
2401,"Omaha, NE--IA Urbanized Area",-96.1540252504,41.0842720478,-95.9152567496,41.3854459522
2423,"Orlando, FL Urbanized Area",-81.5883987896,28.3608560495,-81.2339412104,28.8079559505
2456,"Oxnard, CA Urbanized Area",-119.270621766,34.1670753063,-119.137436234,34.3350706937
2472,"Palm Bay--Melbourne, FL Urbanized Area",-80.7850728456,28.0489022516,-80.5642471544,28.3274437484
2473,"Palm Coast--Daytona Beach--Port Orange, FL Urbanized Area",-81.1701588482,29.1374414869,-80.9759951518,29.3823525131
2479,"Panama City, FL Urbanized Area",-85.7467696294,30.1064259561,-85.6077723706,30.2817520439
2521,"Pensacola, FL--AL Urbanized Area",-87.3639885717,30.345805347,-87.1428554283,30.624734653
2522,"Peoria, IL Urbanized Area",-89.6721209621,40.5922691842,-89.4984330379,40.8113528158
2542,"Philadelphia, PA--NJ--DE--MD Urbanized Area",-75.6208478425,39.5663080736,-74.9754781575,40.3803539264
2546,"Phoenix--Mesa, AZ Urbanized Area",-112.215509722,33.1844416797,-111.724572278,33.8036923203
2567,"Pittsburgh, PA Urbanized Area",-80.1690471552,40.1818206111,-79.7328408448,40.7320353889
2599,"Ponce, PR Urbanized Area",-66.6823439147,17.9575779258,-66.5860400853,18.0790520742
2611,"Port Arthur, TX Urbanized Area",-94.0292427142,29.8680819969,-93.8802832858,30.0559740031
2620,"Portland, ME Urbanized Area",-70.4067338814,43.557153786,-70.2377101186,43.770354214
2622,"Portland, OR--WA Urbanized Area",-122.81709165,45.3110117705,-122.48508235,45.7297962295
2627,"Port St. Lucie, FL Urbanized Area",-80.4075268775,27.1325740523,-80.1983771225,27.3963879477
2636,"Pottstown, PA Urbanized Area",-75.7119241916,40.188093872,-75.5831998084,40.350462128
2638,"Poughkeepsie--Newburgh, NY--NJ Urbanized Area",-74.1157999562,41.3879383166,-73.8535620438,41.7187156834
2664,"Providence, RI--MA Urbanized Area",-71.5666445768,41.5628453065,-71.2281574232,41.9898006935
2666,"Provo--Orem, UT Urbanized Area",-111.82883404,40.1575998699,-111.64036796,40.3953241301
2668,"Pueblo, CO Urbanized Area",-104.703227857,38.1996570209,-104.578328143,38.3572009791
2684,"Racine, WI Urbanized Area",-87.8884079322,42.6717027787,-87.7864940678,42.8002532213
2686,"Raleigh, NC Urbanized Area",-78.834594444,35.5601220422,-78.504567556,35.9764059578
2703,"Reading, PA Urbanized Area",-76.0252495192,40.2712558905,-75.8775044808,40.4576161095
2706,"Redding, CA Urbanized Area",-122.424330018,40.5025363074,-122.302111982,40.6566976926
2719,"Reno, NV--CA Urbanized Area",-119.890199555,39.4153381185,-119.704310445,39.6498118815
2735,"Richmond, VA Urbanized Area",-77.6488077315,37.2750835318,-77.3271582685,37.6808004682
2756,"Riverside--San Bernardino, CA Urbanized Area",-117.511187317,33.7715417711,-117.172724683,34.1984662289
2759,"Roanoke, VA Urbanized Area",-80.0570752119,37.1888872554,-79.8955107881,37.3926787446
2767,"Rochester, MN Urbanized Area",-92.5317252577,43.95534055,-92.4286107423,44.08540545
2768,"Rochester, NY Urbanized Area",-77.6988027482,42.9729169313,-77.4376392518,43.3023390687
2770,"Rockford, IL Urbanized Area",-89.1004779129,42.1819868485,-88.9211320871,42.4082071515
2772,"Rock Hill, SC Urbanized Area",-81.1113079721,34.8684877512,-80.9695340279,35.0473162488
2796,"Round Lake Beach--McHenry--Grayslake, IL--WI Urbanized Area",-88.2401775974,42.2952868715,-88.0610744026,42.5212011285
2820,"Sacramento, CA Urbanized Area",-121.481993441,38.4401346705,-121.167344559,38.8370213295
2822,"Saginaw, MI Urbanized Area",-84.0429945603,43.3547741115,-83.9206414397,43.5091058885
2829,"St. Cloud, MN Urbanized Area",-94.2461067205,45.5090739208,-94.1433352795,45.6387060792
2844,"St. Louis, MO--IL Urbanized Area",-90.5613271338,38.3527822403,-90.1206948662,38.9085797597
2861,"Salem, OR Urbanized Area",-123.073439186,44.8544727307,-122.947108814,45.0138212693
2864,"Salinas, CA Urbanized Area",-121.714707519,36.6410287655,-121.613272481,36.7689752345
2869,"Salt Lake City--West Valley City, UT Urbanized Area",-112.047327951,40.4857745733,-111.805638049,40.7906334267
2872,"San Antonio, TX Urbanized Area",-98.6528033148,29.291525387,-98.2985206852,29.738404613
2875,"San Diego, CA Urbanized Area",-117.324987431,32.6812630471,-116.932610569,33.1761929529
2883,"San Francisco--Oakland, CA Urbanized Area",-122.294425912,37.4809510662,-121.962658088,37.8994309338
2886,"San Germán--Cabo Rojo--Sabana Grande, PR Urbanized Area",-67.1490306435,17.9783012337,-67.0073573565,18.1570027663
2888,"San Jose, CA Urbanized Area",-122.067738202,37.1752103929,-121.822551798,37.4844796071
2889,"San Juan, PR Urbanized Area",-66.3296783878,18.0189593291,-65.9028456122,18.5573506709
2895,"Santa Barbara, CA Urbanized Area",-119.778277538,34.3591349463,-119.669926462,34.4958050537
2896,"Santa Clarita, CA Urbanized Area",-118.585358627,34.3497896181,-118.458357373,34.5099843819
2897,"Santa Cruz, CA Urbanized Area",-122.05433614,36.9824815507,-121.94358386,37.1221804493
2900,"Santa Maria, CA Urbanized Area",-120.478002149,34.8624642212,-120.399753851,34.9611637788
2903,"Santa Rosa, CA Urbanized Area",-122.812391697,38.3538616664,-122.668870303,38.5348943336
2908,"Sarasota--Bradenton, FL Urbanized Area",-82.6062842166,27.1382610336,-82.3442297834,27.4688069664
2913,"Savannah, GA Urbanized Area",-81.2450050672,31.9272076652,-81.0584889328,32.1624723348
2927,"Scranton, PA Urbanized Area",-76.0220393871,41.1225817049,-75.8325646129,41.3615782951
2931,"Seaside--Monterey, CA Urbanized Area",-121.888856081,36.5587049655,-121.798667919,36.6724650345
2932,"Seattle, WA Urbanized Area",-122.505309908,47.177930184,-122.044466092,47.759221816
2933,"Sebastian--Vero Beach South--Florida Ridge, FL Urbanized Area",-80.4937960933,27.5735587573,-80.3512579067,27.7533512427
2984,"Shreveport, LA Urbanized Area",-93.8548745778,32.3619176121,-93.6575494222,32.6108163879
3002,"Simi Valley, CA Urbanized Area",-118.787514439,34.218442106,-118.706229561,34.320971894
3005,"Sioux City, IA--NE--SD Urbanized Area",-96.4556966439,42.4146875174,-96.3487893561,42.5495364826
3006,"Sioux Falls, SD Urbanized Area",-96.7937039849,43.46024411,-96.6775600151,43.60674389
3042,"South Bend, IN--MI Urbanized Area",-86.2937491938,41.5983037328,-86.1097368062,41.8304102672
3049,"South Lyon--Howell, MI Urbanized Area",-83.8795378184,42.4145730473,-83.7325461816,42.5999829527
3059,"Spartanburg, SC Urbanized Area",-82.0894469693,34.8488131865,-81.8895810307,35.1009168135
3065,"Spokane, WA Urbanized Area",-117.445227116,47.5628957407,-117.259438884,47.7972422593
3071,"Springfield, IL Urbanized Area",-89.712071635,39.6987598694,-89.572752365,39.8744921306
3072,"Springfield, MA--CT Urbanized Area",-72.7092999601,41.955185573,-72.4386160399,42.296616427
3073,"Springfield, MO Urbanized Area",-93.3735310783,37.0397926967,-93.2005749217,37.2579533033
3077,"Spring Hill, FL Urbanized Area",-82.601488459,28.3906291029,-82.446023541,28.5867268971
3113,"Stockton, CA Urbanized Area",-121.357246052,37.873953048,-121.217785948,38.049862952
3158,"Syracuse, NY Urbanized Area",-76.2652147558,42.9627716489,-76.0627872442,43.2181063511
3165,"Tallahassee, FL Urbanized Area",-84.3503863642,30.3703377793,-84.1873196358,30.5760242207
3170,"Tampa--St. Petersburg, FL Urbanized Area",-82.738358626,27.7233763241,-82.289841374,28.2891196759
3188,"Texas City, TX Urbanized Area",-95.0916678811,29.3085777068,-94.9652661189,29.4680162932
3197,"Thousand Oaks, CA Urbanized Area",-118.927638276,34.1110063791,-118.793477724,34.2802316209
3211,"Toledo, OH--MI Urbanized Area",-83.726353526,41.4978819729,-83.501536474,41.7814580271
3218,"Topeka, KS Urbanized Area",-95.7571308566,38.9601052718,-95.6277871434,39.1232547282
3232,"Trenton, NJ Urbanized Area",-74.7926386527,40.1345048131,-74.6436773473,40.3223991869
3244,"Tucson, AZ Urbanized Area",-111.082432263,32.0829781575,-110.809849737,32.4268038425
3249,"Tulsa, OK Urbanized Area",-96.0341986503,35.9378583616,-95.7684693497,36.2730396384
3255,"Tuscaloosa, AL Urbanized Area",-87.6075193396,33.1198954239,-87.4703446604,33.2929225761
3266,"Tyler, TX Urbanized Area",-95.3707478646,32.2232571026,-95.2330161354,32.3969868974
3283,"Urban Honolulu, HI Urbanized Area",-158.034322678,21.2452730308,-157.845189322,21.4838389692
3284,"Utica, NY Urbanized Area",-75.3332731757,43.0224920966,-75.2187528243,43.1669439034
3293,"Vallejo, CA Urbanized Area",-122.259082978,38.0502123344,-122.165109022,38.1687476656
3312,"Victorville--Hesperia, CA Urbanized Area",-117.404457446,34.3587771758,-117.217190554,34.5949888242
3328,"Virginia Beach, VA Urbanized Area",-76.474179977,36.7010267563,-76.145012023,37.1162272437
